coin_symbol,coin_name,is_active,dim_last_updated
zeta,zeta,True,2026-03-12 09:20:26.889673
sol,sol,True,2026-03-12 09:20:26.889673
pol,pol,True,2026-03-12 09:20:26.889673
near,near,True,2026-03-12 09:20:26.889673
vet,vet,True,2026-03-12 09:20:26.889673
xrp,xrp,True,2026-03-12 09:20:26.889673
avax,avax,True,2026-03-12 09:20:26.889673
fil,fil,True,2026-03-12 09:20:26.889673
algo,algo,True,2026-03-12 09:20:26.889673
chz,chz,True,2026-03-12 09:20:26.889673
btc,btc,True,2026-03-12 09:20:26.889673
dot,dot,True,2026-03-12 09:20:26.889673
bsv,bsv,True,2026-03-12 09:20:26.889673
inj,inj,True,2026-03-12 09:20:26.889673
ltc,ltc,True,2026-03-12 09:20:26.889673
xlm,xlm,True,2026-03-12 09:20:26.889673
atom,atom,True,2026-03-12 09:20:26.889673
sc,sc,True,2026-03-12 09:20:26.889673
zk,zk,True,2026-03-12 09:20:26.889673
eth,eth,True,2026-03-12 09:20:26.889673
xtz,xtz,True,2026-03-12 09:20:26.889673
bnb,bnb,True,2026-03-12 09:20:26.889673
cspr,cspr,True,2026-03-12 09:20:26.889673
ada,ada,True,2026-03-12 09:20:26.889673
op,op,True,2026-03-12 09:20:26.889673
eth2,eth2,True,2026-03-12 09:20:26.889673
celo,celo,True,2026-03-12 09:20:26.889673
doge,doge,True,2026-03-12 09:20:26.889673
sui,sui,True,2026-03-12 09:20:26.889673
hbar,hbar,True,2026-03-12 09:20:26.889673
ton,ton,True,2026-03-12 09:20:26.889673
arb,arb,True,2026-03-12 09:20:26.889673
trx,trx,True,2026-03-12 09:20:26.889673
bch,bch,True,2026-03-12 09:20:26.889673
iota,iota,True,2026-03-12 09:20:26.889673
cc,cc,True,2026-03-12 09:20:26.889673
dash,dash,True,2026-03-12 09:20:26.889673
apt,apt,True,2026-03-12 09:20:26.889673
