coin_symbol,current_date,current_price,high_24h,low_24h,market_cap,total_volume,price_change_pct_24h,electrical_power_kw,electricity_consumption_kwh,co2_emissions_kg
ada,2026-03-09,0.255923,0.258153,0.247682,9423670726.0,480568632.0,-0.2,52.58,467704.12,149863.42
ada,2026-03-11,0.265298,0.266585,0.25729,9778379775.0,512033110.0,0.99,52.59,463823.07,148619.84
algo,2026-03-09,0.08313,0.084087,0.081545,738727690.0,42950718.0,-0.54,129.47,1143031.9,389439.93
algo,2026-03-11,0.086524,0.087407,0.08445,769092922.0,31547953.0,1.06,129.41,1140282.81,387337.04
apt,2026-03-09,0.945332,0.961719,0.918713,737767554.0,63968251.0,-0.3,40.03,346722.79,107782.46
apt,2026-03-11,0.944119,0.972335,0.937034,737949357.0,57568263.0,-1.57,40.5,349075.67,108516.01
arb,2026-03-09,0.097312,0.098601,0.09421,577647904.0,71236758.0,0.57,,4345362.4,1994516.52
arb,2026-03-11,0.10124,0.10272,0.097306,601511759.0,66173477.0,2.77,,4325446.37,1985374.98
atom,2026-03-09,1.74,1.76,1.71,863039690.0,32661293.0,-1.67,74.55,652983.07,299719.23
atom,2026-03-11,1.84,1.85,1.78,914167997.0,28982694.0,2.9,74.55,652983.07,299719.23
avax,2026-03-09,9.08,9.25,8.75,3920856831.0,300061072.0,0.91,199.93,1726212.28,554604.16
avax,2026-03-11,9.7,9.82,9.5,4191177005.0,273807267.0,1.22,199.98,1743047.08,556773.52
bch,2026-03-09,449.4,454.38,442.23,8988774935.0,195860307.0,-1.1,0.11,0.98,0.39
bch,2026-03-11,457.94,458.03,444.38,9161586955.0,201035915.0,2.77,0.11,0.98,0.39
bnb,2026-03-09,628.07,629.48,609.71,85611911780.0,866105593.0,0.75,18.79,147007.47,49052.66
bnb,2026-03-11,652.92,654.81,636.75,89069720832.0,938521723.0,1.82,17.19,150817.71,50389.76
bsv,2026-03-09,13.09,13.75,13.07,261867106.0,5378058.0,-4.74,0.01,0.04,0.02
bsv,2026-03-11,15.18,16.67,14.86,303192877.0,37768075.0,0.6,0.01,0.04,0.02
btc,2026-03-09,67806.0,68354.0,65727.0,1355246755169.0,45316994357.0,-0.34,18.79,165.8,65.25
btc,2026-03-11,70604.0,71230.0,69034.0,1414053654360.0,49883383201.0,0.81,18.8,165.49,65.13
cc,2026-03-09,0.147476,0.152871,0.147429,5606117685.0,74229840.0,-3.51,31.36,270603.5,124207.01
cc,2026-03-11,0.151452,0.151452,0.146486,5756775061.0,181051136.0,2.14,31.45,272799.14,125214.8
celo,2026-03-09,0.073677,0.074122,0.07215,44015058.0,4708400.0,0.03,3.79,33470.16,11287.73
celo,2026-03-11,0.076145,0.076185,0.073718,45503817.0,4765768.0,2.79,3.83,33433.24,11275.28
chz,2026-03-09,0.03720989,0.03846571,0.03530297,383506720.0,90694541.0,5.3,0.99,8708.33,3997.12
chz,2026-03-11,0.03815569,0.03892657,0.03770594,393719482.0,38921863.0,-0.97,1.0,8711.73,3998.69
cspr,2026-03-09,0.00290336,0.0029863,0.00287925,40413602.0,976818.0,-0.32,5.48,48440.4,14273.4
cspr,2026-03-11,0.00295653,0.0030385,0.00290817,41375123.0,1087452.0,1.43,5.39,48049.91,14158.34
dash,2026-03-09,31.83,32.25,30.26,401595009.0,64935569.0,0.42,0.01,0.04,0.02
dash,2026-03-11,32.54,32.68,31.75,410779964.0,38033746.0,0.53,0.01,0.04,0.02
doge,2026-03-09,0.090397,0.091425,0.088006,13862691109.0,1182216679.0,-0.58,0.86,7.55,2.97
doge,2026-03-11,0.093828,0.095121,0.09168,14390667318.0,1394037547.0,-0.9,0.86,7.54,2.97
dot,2026-03-09,1.48,1.51,1.44,2474224414.0,150646414.0,0.59,117.85,1032379.16,313264.01
dot,2026-03-11,1.54,1.55,1.48,2578061610.0,122419884.0,2.73,117.85,1032379.16,313264.01
eth,2026-03-09,2002.55,2015.99,1922.33,241459349751.0,21850118973.0,1.45,0.59,19.45,10.44
eth,2026-03-11,2074.33,2082.55,2010.47,250642414353.0,19142804977.0,1.85,0.59,19.45,10.44
eth2,2026-03-09,2087.98,,,0.0,208.8,,537.87,4718041.51,1434.6
eth2,2026-03-11,2087.98,,,0.0,208.8,,535.83,4719504.03,1435.21
fil,2026-03-09,0.943675,0.967642,0.927357,716322120.0,76699093.0,-0.41,6831.3,60056007.39,32234136.48
fil,2026-03-11,0.887085,0.908383,0.850466,676410975.0,165075141.0,1.5,6428.64,58297949.31,31290525.9
hbar,2026-03-09,0.095098,0.096492,0.093359,4117198460.0,85630997.0,-1.45,5.89,51558.81,16535.87
hbar,2026-03-11,0.095004,0.096244,0.093454,4118642135.0,87601180.0,-0.9,5.89,51558.81,16535.87
inj,2026-03-09,2.89,2.92,2.78,288835704.0,38169876.0,0.63,10.35,90797.2,41675.92
inj,2026-03-11,3.01,3.02,2.9,301000643.0,41552619.0,2.17,10.35,90797.2,41675.92
iota,2026-03-09,0.064753,0.065237,0.063129,278819869.0,6995109.0,0.94,44.21,387573.78,100479.62
iota,2026-03-11,0.063064,0.064474,0.062731,272167388.0,9672354.0,-0.18,44.22,387404.39,100435.71
ltc,2026-03-09,53.48,53.86,52.2,4113369827.0,282095555.0,-0.56,0.6,5.29,2.08
ltc,2026-03-11,55.03,55.12,53.51,4234526374.0,267370430.0,2.31,0.61,5.3,2.08
near,2026-03-09,1.25,1.26,1.2,1607414559.0,209915312.0,-0.45,561.69,4891266.62,2028404.83
near,2026-03-11,1.29,1.32,1.27,1670680318.0,186520333.0,1.33,566.71,4915737.88,2256323.69
op,2026-03-09,0.117944,0.119617,0.114229,249566687.0,53899695.0,1.77,,203800.59,93414.11
op,2026-03-11,0.12065,0.122161,0.117347,255679456.0,51109738.0,1.68,,203896.45,93458.66
pol,2026-03-09,0.096328,0.097536,0.09429,1021477355.0,60151454.0,0.64,,289231.8,103.11
pol,2026-03-11,0.098008,0.098046,0.095679,1039499518.0,48072574.0,1.56,,307197.02,103.4
sc,2026-03-09,0.00103972,0.00104928,0.00102318,51735352.0,4086759.0,-0.91,0.01,0.04,0.02
sc,2026-03-11,0.00104387,0.00104987,0.00103345,51972573.0,4311389.0,0.78,0.01,0.04,0.01
sol,2026-03-09,83.91,84.43,81.03,47885120511.0,3566739162.0,0.03,1654.65,14365109.76,4647203.36
sol,2026-03-11,87.2,87.83,84.52,49836081142.0,4050328596.0,1.38,1663.59,14466305.05,4674228.48
sui,2026-03-09,0.908204,0.915926,0.873515,3539322447.0,421962917.0,0.2,108.94,1049246.22,481604.02
sui,2026-03-11,0.994589,0.99704,0.946413,3885706351.0,533861478.0,3.48,115.2,1045249.61,479769.57
ton,2026-03-09,1.33,1.35,1.3,3266908778.0,81687094.0,-0.36,404.94,3551060.5,1086266.85
ton,2026-03-11,1.33,1.34,1.29,3268796897.0,82972207.0,1.07,407.14,3552480.44,1118180.64
trx,2026-03-09,0.285628,0.290768,0.285678,27073130842.0,564795684.0,-0.54,394.77,3461712.39,1358197.12
trx,2026-03-11,0.290226,0.291524,0.285085,27493227381.0,475976730.0,1.75,394.25,3464612.03,1358567.4
vet,2026-03-09,0.00698521,0.00703159,0.00675091,600188012.0,14541075.0,0.83,8.9,78801.59,33664.35
vet,2026-03-11,0.00714966,0.00720141,0.00699336,615006297.0,15682545.0,1.54,8.99,78599.56,33578.04
