coin_symbol,coin_name,is_active,dim_last_updated
zeta,zeta,True,2026-03-09 10:36:18.713225
sol,sol,True,2026-03-09 10:36:18.713225
pol,pol,True,2026-03-09 10:36:18.713225
near,near,True,2026-03-09 10:36:18.713225
vet,vet,True,2026-03-09 10:36:18.713225
xrp,xrp,True,2026-03-09 10:36:18.713225
avax,avax,True,2026-03-09 10:36:18.713225
fil,fil,True,2026-03-09 10:36:18.713225
algo,algo,True,2026-03-09 10:36:18.713225
chz,chz,True,2026-03-09 10:36:18.713225
btc,btc,True,2026-03-09 10:36:18.713225
dot,dot,True,2026-03-09 10:36:18.713225
bsv,bsv,True,2026-03-09 10:36:18.713225
inj,inj,True,2026-03-09 10:36:18.713225
ltc,ltc,True,2026-03-09 10:36:18.713225
xlm,xlm,True,2026-03-09 10:36:18.713225
atom,atom,True,2026-03-09 10:36:18.713225
sc,sc,True,2026-03-09 10:36:18.713225
zk,zk,True,2026-03-09 10:36:18.713225
eth,eth,True,2026-03-09 10:36:18.713225
xtz,xtz,True,2026-03-09 10:36:18.713225
bnb,bnb,True,2026-03-09 10:36:18.713225
cspr,cspr,True,2026-03-09 10:36:18.713225
ada,ada,True,2026-03-09 10:36:18.713225
op,op,True,2026-03-09 10:36:18.713225
eth2,eth2,True,2026-03-09 10:36:18.713225
celo,celo,True,2026-03-09 10:36:18.713225
doge,doge,True,2026-03-09 10:36:18.713225
sui,sui,True,2026-03-09 10:36:18.713225
hbar,hbar,True,2026-03-09 10:36:18.713225
ton,ton,True,2026-03-09 10:36:18.713225
arb,arb,True,2026-03-09 10:36:18.713225
trx,trx,True,2026-03-09 10:36:18.713225
bch,bch,True,2026-03-09 10:36:18.713225
iota,iota,True,2026-03-09 10:36:18.713225
cc,cc,True,2026-03-09 10:36:18.713225
dash,dash,True,2026-03-09 10:36:18.713225
apt,apt,True,2026-03-09 10:36:18.713225
