coin_symbol,current_date,current_price,high_24h,low_24h,market_cap,total_volume,price_change_pct_24h,electrical_power_kw,electricity_consumption_kwh,co2_emissions_kg
ada,2026-03-09,0.255923,0.258153,0.247682,9423670726.0,480568632.0,-0.2,52.58,467704.12,149863.42
algo,2026-03-09,0.08313,0.084087,0.081545,738727690.0,42950718.0,-0.54,129.47,1143031.9,389439.93
apt,2026-03-09,0.945332,0.961719,0.918713,737767554.0,63968251.0,-0.3,40.03,346722.79,107782.46
arb,2026-03-09,0.097312,0.098601,0.09421,577647904.0,71236758.0,0.57,,4345362.4,1994516.52
atom,2026-03-09,1.74,1.76,1.71,863039690.0,32661293.0,-1.67,74.55,652983.07,299719.23
avax,2026-03-09,9.08,9.25,8.75,3920856831.0,300061072.0,0.91,199.93,1726212.28,554604.16
bch,2026-03-09,449.4,454.38,442.23,8988774935.0,195860307.0,-1.1,0.11,0.98,0.39
bnb,2026-03-09,628.07,629.48,609.71,85611911780.0,866105593.0,0.75,18.79,147007.47,49052.66
bsv,2026-03-09,13.09,13.75,13.07,261867106.0,5378058.0,-4.74,0.01,0.04,0.02
btc,2026-03-09,67806.0,68354.0,65727.0,1355246755169.0,45316994357.0,-0.34,18.79,165.8,65.25
cc,2026-03-09,0.147476,0.152871,0.147429,5606117685.0,74229840.0,-3.51,31.36,270603.5,124207.01
celo,2026-03-09,0.073677,0.074122,0.07215,44015058.0,4708400.0,0.03,3.79,33470.16,11287.73
chz,2026-03-09,0.03720989,0.03846571,0.03530297,383506720.0,90694541.0,5.3,0.99,8708.33,3997.12
cspr,2026-03-09,0.00290336,0.0029863,0.00287925,40413602.0,976818.0,-0.32,5.48,48440.4,14273.4
dash,2026-03-09,31.83,32.25,30.26,401595009.0,64935569.0,0.42,0.01,0.04,0.02
doge,2026-03-09,0.090397,0.091425,0.088006,13862691109.0,1182216679.0,-0.58,0.86,7.55,2.97
dot,2026-03-09,1.48,1.51,1.44,2474224414.0,150646414.0,0.59,117.85,1032379.16,313264.01
eth,2026-03-09,2002.55,2015.99,1922.33,241459349751.0,21850118973.0,1.45,0.59,19.45,10.44
eth2,2026-03-09,2087.98,,,0.0,208.8,,537.87,4718041.51,1434.6
fil,2026-03-09,0.943675,0.967642,0.927357,716322120.0,76699093.0,-0.41,6831.3,60056007.39,32234136.48
hbar,2026-03-09,0.095098,0.096492,0.093359,4117198460.0,85630997.0,-1.45,5.89,51558.81,16535.87
inj,2026-03-09,2.89,2.92,2.78,288835704.0,38169876.0,0.63,10.35,90797.2,41675.92
iota,2026-03-09,0.064753,0.065237,0.063129,278819869.0,6995109.0,0.94,44.21,387573.78,100479.62
ltc,2026-03-09,53.48,53.86,52.2,4113369827.0,282095555.0,-0.56,0.6,5.29,2.08
near,2026-03-09,1.25,1.26,1.2,1607414559.0,209915312.0,-0.45,561.69,4891266.62,2028404.83
op,2026-03-09,0.117944,0.119617,0.114229,249566687.0,53899695.0,1.77,,203800.59,93414.11
pol,2026-03-09,0.096328,0.097536,0.09429,1021477355.0,60151454.0,0.64,,289231.8,103.11
sc,2026-03-09,0.00103972,0.00104928,0.00102318,51735352.0,4086759.0,-0.91,0.01,0.04,0.02
sol,2026-03-09,83.91,84.43,81.03,47885120511.0,3566739162.0,0.03,1654.65,14365109.76,4647203.36
sui,2026-03-09,0.908204,0.915926,0.873515,3539322447.0,421962917.0,0.2,108.94,1049246.22,481604.02
ton,2026-03-09,1.33,1.35,1.3,3266908778.0,81687094.0,-0.36,404.94,3551060.5,1086266.85
trx,2026-03-09,0.285628,0.290768,0.285678,27073130842.0,564795684.0,-0.54,394.77,3461712.39,1358197.12
vet,2026-03-09,0.00698521,0.00703159,0.00675091,600188012.0,14541075.0,0.83,8.9,78801.59,33664.35
xlm,2026-03-09,0.149457,0.151697,0.147366,4932435657.0,88426777.0,-1.48,5.74,50260.61,14281.78
xrp,2026-03-09,1.35,1.37,1.33,82838279216.0,2196871936.0,-1.17,46.86,412425.08,176837.38
xtz,2026-03-09,0.365963,0.367994,0.357587,394140089.0,11306576.0,-0.48,28.46,249532.01,74580.56
zeta,2026-03-09,0.04921512,0.050666,0.04922379,64840829.0,2880374.0,-2.18,10.88,95347.65,43764.57
zk,2026-03-09,0.01815927,0.01884855,0.01791384,167112872.0,19044499.0,-3.42,,156246.01,71698.29
