coin_symbol,coin_name,is_active,dim_last_updated
xtz,xtz,True,2026-03-08 15:58:54.066917
hbar,hbar,True,2026-03-08 15:58:54.066917
inj,inj,True,2026-03-08 15:58:54.066917
algo,algo,True,2026-03-08 15:58:54.066917
apt,apt,True,2026-03-08 15:58:54.066917
celo,celo,True,2026-03-08 15:58:54.066917
sc,sc,True,2026-03-08 15:58:54.066917
bsv,bsv,True,2026-03-08 15:58:54.066917
eth,eth,True,2026-03-08 15:58:54.066917
dot,dot,True,2026-03-08 15:58:54.066917
eth2,eth2,True,2026-03-08 15:58:54.066917
sui,sui,True,2026-03-08 15:58:54.066917
btc,btc,True,2026-03-08 15:58:54.066917
doge,doge,True,2026-03-08 15:58:54.066917
op,op,True,2026-03-08 15:58:54.066917
sol,sol,True,2026-03-08 15:58:54.066917
near,near,True,2026-03-08 15:58:54.066917
cspr,cspr,True,2026-03-08 15:58:54.066917
dash,dash,True,2026-03-08 15:58:54.066917
avax,avax,True,2026-03-08 15:58:54.066917
cc,cc,True,2026-03-08 15:58:54.066917
zk,zk,True,2026-03-08 15:58:54.066917
ltc,ltc,True,2026-03-08 15:58:54.066917
iota,iota,True,2026-03-08 15:58:54.066917
ada,ada,True,2026-03-08 15:58:54.066917
chz,chz,True,2026-03-08 15:58:54.066917
atom,atom,True,2026-03-08 15:58:54.066917
vet,vet,True,2026-03-08 15:58:54.066917
ton,ton,True,2026-03-08 15:58:54.066917
bnb,bnb,True,2026-03-08 15:58:54.066917
xrp,xrp,True,2026-03-08 15:58:54.066917
pol,pol,True,2026-03-08 15:58:54.066917
xlm,xlm,True,2026-03-08 15:58:54.066917
arb,arb,True,2026-03-08 15:58:54.066917
zeta,zeta,True,2026-03-08 15:58:54.066917
fil,fil,True,2026-03-08 15:58:54.066917
trx,trx,True,2026-03-08 15:58:54.066917
bch,bch,True,2026-03-08 15:58:54.066917
