coin_symbol,current_date,current_price,market_cap,total_volume,high_24h,low_24h,price_change_pct_24h,electrical_power_kw,electricity_consumption_kwh,co2_emissions_kg
ada,2026-03-08,0.249296,9172538458.0,344364814.0,0.257158,0.249022,-2.15528,53.2143813897712,470814.9586734175,151276.29000953506
algo,2026-03-08,0.082028,728834361.0,30398008.0,0.084094,0.081933,-1.70331,130.36402833297254,1144052.3475726491,395360.9611161709
apt,2026-03-08,0.930566,726655783.0,47582392.0,0.958226,0.923081,-0.95694,39.85106648555846,346293.227145272,106922.19693048684
arb,2026-03-08,0.09473,562234182.0,45455669.0,0.09797,0.094671,-2.44308,,4215984.424294934,1935132.142823164
atom,2026-03-08,1.73,858561186.0,28362629.0,1.8,1.73,-3.88174,74.54668563371851,652983.0689308636,299719.2286392664
avax,2026-03-08,8.86,3824894242.0,171723536.0,9.01,8.82,-1.10982,201.04519600001424,1719382.4472571278,546810.0050897809
bch,2026-03-08,446.8,8931918919.0,154793035.0,454.74,446.37,-0.68202,0.1127941613915828,0.9823678035950304,0.3866299128985981
bnb,2026-03-08,616.2,84006940307.0,610422881.0,625.13,614.62,-1.42964,18.202115327412145,142696.63917602945,47625.61221045305
bsv,2026-03-08,13.62,272280318.0,6549965.0,14.01,13.55,-2.54168,0.0050288376827433,0.0444093557031446,0.0174781637433099
btc,2026-03-08,67220.0,1343316331309.0,29165581758.0,68110.0,66636.0,-0.99261,18.92488496983676,166.08424430548757,65.36567737121325
cc,2026-03-08,0.152654,5795883232.0,68954779.0,0.153597,0.152129,0.06002,31.387871344605266,269310.0289692281,123613.3032968757
celo,2026-03-08,0.07232,43191127.0,3826653.0,0.074283,0.072216,-1.98138,3.816225739271249,33549.22882147068,11314.39658876568
chz,2026-03-08,0.03617809,372387843.0,49991635.0,0.03643268,0.03383886,6.76627,0.9945612114353484,8707.977441424875,3996.961645614018
cspr,2026-03-08,0.00291621,40592112.0,900611.0,0.00299036,0.00287925,-2.1918,5.434130786248417,48552.57774945736,14306.45067077572
dash,2026-03-08,30.8,388460783.0,35733397.0,32.64,30.75,-5.22694,0.0050928178642991,0.0448743253889175,0.0176611615863306
doge,2026-03-08,0.088696,13597344613.0,756337345.0,0.090962,0.088329,-1.42715,0.858859841005933,7.563642264493684,2.9768181929574613
dot,2026-03-08,1.45,2422743636.0,122872228.0,1.48,1.43,-1.18811,117.85130099450144,1032381.1283043902,313264.60587694944
eth,2026-03-08,1942.73,234259030689.0,12484115510.0,1982.23,1931.27,-1.92656,0.5895990182846171,19.4546246084288,10.442112899826864
eth2,2026-03-08,2087.98,0.0,208.8,,,,540.2462189185608,4715946.391099831,1434.2073525698686
fil,2026-03-08,0.934339,709236498.0,55880895.0,0.968141,0.925471,-2.42472,6481.312593625082,61079280.77391177,32783362.697440498
hbar,2026-03-08,0.094682,4098495351.0,56750653.0,0.096621,0.094031,-1.38871,5.885708978996723,51558.81065601129,16535.872353825576
inj,2026-03-08,2.8,280648466.0,34221877.0,2.9,2.79,-2.07196,10.348370094392145,90797.20289939066,41675.91613082031
iota,2026-03-08,0.063256,272429201.0,5078626.0,0.06421,0.062555,-1.22773,44.25030931798729,387584.97491434513,100482.52714536487
ltc,2026-03-08,52.63,4044768312.0,262876641.0,53.95,52.59,-2.07816,0.6054559877035011,5.292935238853231,2.0831373777589244
near,2026-03-08,1.21,1564620658.0,138584866.0,1.25,1.2,-0.5274,560.9658164579097,4882581.520141516,2092335.6598561497
op,2026-03-08,0.114482,242218135.0,41305374.0,0.118612,0.113569,-2.29412,,203884.87864981385,93452.69191478088
pol,2026-03-08,0.09441,1001066294.0,48589218.0,0.097065,0.093593,-2.49791,,283719.4661977318,102.79507604096266
sc,2026-03-08,0.0010357,58015542.0,4108539.0,0.00105145,0.00102759,-1.06067,0.0050110908466399,0.0449409283742268,0.0150637705921584
sol,2026-03-08,82.01,46765780358.0,2303558658.0,83.97,81.64,-2.06534,1660.883352240975,14430848.381263783,4686210.626610847
sui,2026-03-08,0.883763,3444857299.0,277576105.0,0.908563,0.877334,-1.61707,120.81036732297414,1060821.3214550188,486916.9865478537
ton,2026-03-08,1.31,3222419725.0,76278782.0,1.35,1.29,-0.35835,405.20879679851953,3551416.2928090445,1118798.1510396982
trx,2026-03-08,0.288559,27338302224.0,400432930.0,0.288596,0.284752,1.33678,397.00578792226,3457064.1378570907,1358128.0662860645
vet,2026-03-08,0.00682388,586342552.0,13825479.0,0.00703326,0.00680792,-2.34592,8.94501373509871,78942.5717465285,33724.57341076464
xlm,2026-03-08,0.148819,4908675636.0,68679770.0,0.151798,0.148011,-1.10915,5.737509344771738,50260.6106679335,14281.785135954477
xrp,2026-03-08,1.35,82345094061.0,1522055667.0,1.37,1.34,-0.84365,47.050085739019394,412379.7515714858,176895.48588893533
xtz,2026-03-08,0.36309,391285366.0,9720228.0,0.367819,0.358444,-0.83541,28.46482059031022,249560.47000421165,74589.06953889542
zeta,2026-03-08,0.04975292,65429600.0,2493131.0,0.050485,0.04921199,0.0201,10.883228401741194,95347.64946711008,43764.57110540353
zk,2026-03-08,0.01837502,169392928.0,11489300.0,0.0189641,0.018288,-2.40208,,156262.18845021434,71705.61276488939
